"","Merged","Nickname","Name","Strain","Treatment","Condition","Strategy","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"S606-1-37-2","606Slow37","Renly.37.3","S606-1",606,"Slow",37,"Specialist",0.178439511204258,0.941111129859229,-0.243577590625742,0.162097237412196,0.190549441211127
"S606-1-43","606Slow43","Renly.43.1","S606-1",606,"Slow",43,"Specialist",1.42213889206499,-0.180550033686453,0.588013963384148,-0.176044371988777,-0.140178676672788
"S606-1-43-1","606Slow43","Renly.43.2","S606-1",606,"Slow",43,"Specialist",1.78582554120846,-0.820078059524325,0.205023545581093,0.306674067444158,-0.424014651054271
"S606-1-43-2","606Slow43","Renly.43.3","S606-1",606,"Slow",43,"Specialist",1.18427886536785,0.287268790759271,0.905227377637868,0.284607923251262,0.0923362889539227
"F606-1-15","606Fast15","Rhaegal.15.1","F606-1",606,"Fast",15,"Specialist",-1.97478961753702,-0.942062936921753,-0.0292686436101526,-0.245285904067919,0.125540868650099
"F606-1-15-1","606Fast15","Rhaegal.15.2","F606-1",606,"Fast",15,"Specialist",-1.96807455146562,-0.489609739704594,0.35805775618171,-0.319973138634103,0.188579174994381
"F606-1-15-2","606Fast15","Rhaegal.15.3","F606-1",606,"Fast",15,"Specialist",-1.88866597864669,-0.702492778623251,0.253915013010838,-0.215933689483762,0.258714506213193
"F606-1-37","606Fast37","Rhaegal.37.1","F606-1",606,"Fast",37,"Specialist",-0.00231298390138144,0.664613834083183,-0.459953052994214,-0.114163512420526,-0.0187516745665321
"F606-1-37-1","606Fast37","Rhaegal.37.2","F606-1",606,"Fast",37,"Specialist",-0.158792960816031,0.322539221778722,-0.837839531082269,-0.199460577712944,-0.0704757571140977
"F606-1-37-2","606Fast37","Rhaegal.37.3","F606-1",606,"Fast",37,"Specialist",-0.0558783719772193,0.571756049863709,-0.614477194240347,-0.126107841596486,-0.096716306355268
"F606-1-43","606Fast43","Rhaegal.43.1","F606-1",606,"Fast",43,"Specialist",1.31307422717377,-0.0852513977294354,0.373168952495607,-0.375979874370477,-0.155003567010955
"F606-1-43-1","606Fast43","Rhaegal.43.2","F606-1",606,"Fast",43,"Specialist",1.29130907149449,-0.0298966213739072,0.822053911019357,-0.920249123906278,-0.196705179920668
"F606-1-43-2","606Fast43","Rhaegal.43.3","F606-1",606,"Fast",43,"Specialist",1.27451915993796,0.203849050614361,1.08436567431889,-0.408418853773088,-0.0719555032715767
"R606-2-15","606Random15","Shiera.15.1","R606-2",606,"Random",15,"Specialist",-0.974217693521529,0.0707586196726064,-0.128297878022065,0.180477713411648,-0.505656365423583
"R606-2-15-1","606Random15","Shiera.15.2","R606-2",606,"Random",15,"Specialist",-0.705772091210941,0.0395429776621659,-0.202249769741708,0.176032964779987,-0.415039165109412
"R606-2-15-2","606Random15","Shiera.15.3","R606-2",606,"Random",15,"Specialist",-1.02586691831688,0.188188228505083,0.0566591265802616,0.226896965177139,-0.452382646327377
"R606-2-37","606Random37","Shiera.37.1","R606-2",606,"Random",37,"Specialist",0.116001763067851,0.827692788488193,-0.440331869705121,0.15828812782447,0.123398150474585
"R606-2-37-1","606Random37","Shiera.37.2","R606-2",606,"Random",37,"Specialist",0.337461295364611,0.50300111600368,-0.876400224440144,0.171911327314032,-0.0966531726376154
"R606-2-37-2","606Random37","Shiera.37.3","R606-2",606,"Random",37,"Specialist",0.195043763416272,0.706868686160775,-0.838301036268549,0.211792802521411,-0.0481537190915797
"R606-2-43","606Random43","Shiera.43.1","R606-2",606,"Random",43,"Specialist",1.30351916085263,-0.838664057724982,0.228633115134088,0.709751486549823,0.0638855492535243
"R606-2-43-1","606Random43","Shiera.43.2","R606-2",606,"Random",43,"Specialist",1.55425896125484,-1.63688478618932,-0.540266392400252,0.924592843806759,0.0999698356786076
"R606-2-43-2","606Random43","Shiera.43.3","R606-2",606,"Random",43,"Specialist",1.32035927442869,-0.924358734074789,0.0803759718655098,0.723049666249398,0.326719796784306
"F606-4-15","606Fast15","Stannis.15.1","F606-4",606,"Fast",15,"Generalist",-1.82684516165184,-0.810290871014108,0.141913539145012,-0.204980452095239,0.251230272086482
