"","X.x","clone.x","median","pvaltest","logi_test","referencia","PC","PCdir","comparison","Name","X.y","Merged","Nickname","Strain","Treatment","Condition","Strategy","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","clone.y"
"55",9,"F607-3",-1.14263640254616,0.00856384162014967,"greater",15,"Dim.1","less","Partially Restored","F607-3","F607-3-15","607Fast15","Lady.15.1",607,"Fast","15","Generalist",-1.21934974143391,-0.0349104009362215,0.198775100063327,0.0458340252524428,-0.26539704150553,"F607-3"
"56",9,"F607-3",-1.14263640254616,0.00856384162014967,"greater",15,"Dim.1","less","Partially Restored","F607-3","F607-3-15-1","607Fast15","Lady.15.2",607,"Fast","15","Generalist",-1.14263640254616,-0.00607941269761014,0.239821606379544,0.277546333724867,-0.222688675868356,"F607-3"
"57",9,"F607-3",-1.14263640254616,0.00856384162014967,"greater",15,"Dim.1","less","Partially Restored","F607-3","F607-3-15-2","607Fast15","Lady.15.3",607,"Fast","15","Generalist",-1.0321073079474,0.206011078590279,0.515415834365949,0.278739763822851,-0.259327161669844,"F607-3"
"58",9,"F607-3",-1.14263640254616,0.00856384162014967,"greater",15,"Dim.1","less","Partially Restored","F607-3","F607-3-37","607Fast37","Lady.37.1",607,"Fast","37","Generalist",-0.0061020689367567,0.387326098984703,-0.437713586745826,-0.228271741209095,0.120884624394582,"F607-3"
"59",9,"F607-3",-1.14263640254616,0.00856384162014967,"greater",15,"Dim.1","less","Partially Restored","F607-3","F607-3-37-1","607Fast37","Lady.37.2",607,"Fast","37","Generalist",0.040645347137087,0.307637824738287,-0.52226023437649,-0.223420087808817,0.0346285895091873,"F607-3"
"60",9,"F607-3",-1.14263640254616,0.00856384162014967,"greater",15,"Dim.1","less","Partially Restored","F607-3","F607-3-37-2","607Fast37","Lady.37.3",607,"Fast","37","Generalist",0.148431709209884,0.152368182988436,-0.749033282226048,-0.067397630934609,0.103042415490138,"F607-3"
"61",9,"F607-3",-1.14263640254616,0.00856384162014967,"greater",15,"Dim.1","less","Partially Restored","F607-3","F607-3-43","607Fast43","Lady.43.1",607,"Fast","43","Generalist",0.775074640831211,-0.803594335706525,0.203070815916454,0.028343516170135,0.0221011115392672,"F607-3"
"62",9,"F607-3",-1.14263640254616,0.00856384162014967,"greater",15,"Dim.1","less","Partially Restored","F607-3","F607-3-43-1","607Fast43","Lady.43.2",607,"Fast","43","Generalist",1.45419598321434,-2.04990576007507,-1.15314671168191,-0.209893344548172,-0.156256966504517,"F607-3"
"63",9,"F607-3",-1.14263640254616,0.00856384162014967,"greater",15,"Dim.1","less","Partially Restored","F607-3","F607-3-43-2","607Fast43","Lady.43.3",607,"Fast","43","Generalist",1.10513421259517,-1.23765809847003,-0.310963440077541,0.167400499250945,0.10508326594811,"F607-3"
"64",10,"F607-4",-1.29322963141834,0.136273681702181,"equal",15,"Dim.1","less","Unrestored","F607-4","F607-4-15","607Fast15","Bloodraven.15.1",607,"Fast","15","Specialist",-1.47375210985849,-0.348147515661489,0.0198648914763163,0.201850834223811,-0.360862382584513,"F607-4"
"65",10,"F607-4",-1.29322963141834,0.136273681702181,"equal",15,"Dim.1","less","Unrestored","F607-4","F607-4-15-1","607Fast15","Bloodraven.15.2",607,"Fast","15","Specialist",-1.29322963141834,-0.221254618305957,0.0951213340384133,0.287952121276089,-0.290576212141312,"F607-4"
